id,data,categoria,estado,quantidade
1,37,2,1,208
2,37,4,1,3
3,37,5,1,4
4,37,1,1,14023
5,37,12,1,2066
6,37,11,1,901
7,37,10,1,736
8,38,2,1,160
9,38,4,1,3
10,38,5,1,5
11,38,1,1,13963
12,38,12,1,1904
13,38,11,1,843
14,38,10,1,890
15,39,2,1,195
16,39,4,1,5
17,39,5,1,0
18,39,1,1,15518
19,39,12,1,2266
20,39,11,1,818
21,39,10,1,854
22,40,2,1,172
23,40,4,1,4
24,40,5,1,3
25,40,1,1,14973
26,40,12,1,2099
27,40,11,1,713
28,40,10,1,659
29,41,2,1,155
30,41,4,1,8
31,41,5,1,3
32,41,1,1,14941
33,41,12,1,2068
34,41,11,1,818
35,41,10,1,648
36,42,2,1,131
37,42,4,1,3
38,42,5,1,3
39,42,1,1,14875
40,42,12,1,2103
41,42,11,1,940
42,42,10,1,724
43,43,2,1,201
44,43,4,1,3
45,43,5,1,4
46,43,1,1,15510
47,43,12,1,2230
48,43,11,1,920
49,43,10,1,812
50,44,2,1,138
51,44,4,1,5
52,44,5,1,2
53,44,1,1,15250
54,44,12,1,2273
55,44,11,1,937
56,44,10,1,730
57,45,2,1,139
58,45,4,1,7
59,45,5,1,2
60,45,1,1,14671
61,45,12,1,2158
62,45,11,1,835
63,45,10,1,669
64,46,2,1,180
65,46,4,1,4
66,46,5,1,5
67,46,1,1,14825
68,46,12,1,2268
69,46,11,1,834
70,46,10,1,756
71,47,2,1,187
72,47,4,1,3
73,47,5,1,4
74,47,1,1,13967
75,47,12,1,1992
76,47,11,1,780
77,47,10,1,646
78,48,2,1,159
79,48,4,1,6
80,48,5,1,2
81,48,1,1,13618
82,48,12,1,2072
83,48,11,1,762
84,48,10,1,753
85,1,2,1,152
86,1,4,1,8
87,1,5,1,9
88,1,1,1,13639
89,1,12,1,4022
90,1,11,1,1071
91,1,10,1,1649
92,2,2,1,122
93,2,4,1,9
94,2,5,1,4
95,2,1,1,12466
96,2,12,1,4091
97,2,11,1,926
98,2,10,1,1226
99,3,2,1,160
100,3,4,1,12
101,3,5,1,8
102,3,1,1,13440
103,3,12,1,4418
104,3,11,1,1052
105,3,10,1,1314
106,4,2,1,163
107,4,4,1,6
108,4,5,1,4
109,4,1,1,12998
110,4,12,1,4437
111,4,11,1,1081
112,4,10,1,1232
113,5,2,1,145
114,5,4,1,11
115,5,5,1,5
116,5,1,1,13288
117,5,12,1,4343
118,5,11,1,1119
119,5,10,1,1218
120,6,2,1,127
121,6,4,1,12
122,6,5,1,2
123,6,1,1,12617
124,6,12,1,4267
125,6,11,1,1074
126,6,10,1,1204
127,7,2,1,127
128,7,4,1,7
129,7,5,1,4
130,7,1,1,13251
131,7,12,1,4128
132,7,11,1,1062
133,7,10,1,1219
134,8,2,1,119
135,8,4,1,7
136,8,5,1,2
137,8,1,1,12944
138,8,12,1,3959
139,8,11,1,1134
140,8,10,1,1400
141,9,2,1,179
142,9,4,1,6
143,9,5,1,2
144,9,1,1,12363
145,9,12,1,3740
146,9,11,1,1013
147,9,10,1,1283
148,10,2,1,168
149,10,4,1,7
150,10,5,1,4
151,10,1,1,12809
152,10,12,1,3827
153,10,11,1,1040
154,10,10,1,1175
155,11,2,1,153
156,11,4,1,10
157,11,5,1,3
158,11,1,1,12628
159,11,12,1,3819
160,11,11,1,927
161,11,10,1,1043
162,13,2,1,162
163,13,4,1,3
164,13,5,1,7
165,13,1,1,14347
166,13,12,1,3803
167,13,11,1,997
168,13,10,1,1292
169,14,2,1,219
170,14,4,1,2
171,14,5,1,5
172,14,1,1,13746
173,14,12,1,3909
174,14,11,1,904
175,14,10,1,1252
176,15,2,1,212
177,15,4,1,8
178,15,5,1,3
179,15,1,1,12875
180,15,12,1,3481
181,15,11,1,974
182,15,10,1,885
183,16,2,1,180
184,16,4,1,7
185,16,5,1,3
186,16,1,1,10916
187,16,12,1,2671
188,16,11,1,1077
189,16,10,1,817
190,17,2,1,148
191,17,4,1,0
192,17,5,1,6
193,17,1,1,11477
194,17,12,1,2587
195,17,11,1,1179
196,17,10,1,979
197,18,2,1,155
198,18,4,1,4
199,18,5,1,4
200,18,1,1,10359
201,18,12,1,2622
202,18,11,1,1194
203,18,10,1,1034
204,19,2,1,130
205,19,4,1,8
206,19,5,1,5
207,19,1,1,10643
208,19,12,1,2353
209,19,11,1,1373
210,19,10,1,1159
211,20,2,1,152
212,20,4,1,7
213,20,5,1,5
214,20,1,1,9933
215,20,12,1,2262
216,20,11,1,1265
217,20,10,1,1082
218,21,2,1,153
219,21,4,1,6
220,21,5,1,2
221,21,1,1,10678
222,21,12,1,2300
223,21,11,1,1316
224,21,10,1,1127
225,22,2,1,173
226,22,4,1,3
227,22,5,1,1
228,22,1,1,11536
229,22,12,1,2442
230,22,11,1,1215
231,22,10,1,1059
232,23,2,1,151
233,23,4,1,4
234,23,5,1,1
235,23,1,1,11440
236,23,12,1,2605
237,23,11,1,1058
238,23,10,1,964
239,24,2,1,173
240,24,4,1,8
241,24,5,1,3
242,24,1,1,11334
243,24,12,1,2203
244,24,11,1,1166
245,24,10,1,1120
246,25,2,1,185
247,25,4,1,5
248,25,5,1,5
249,25,1,1,12870
250,25,12,1,2469
251,25,11,1,1224
252,25,10,1,1375
