MÊS,ANO,HOMICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,FURTO,ROUBO,TRÁFICO DE INTORPECENTES,POSSE DE INTORPECENTES
1,2020,162,3,7,14347,3803,997,1292
2,2020,219,2,5,13746,3909,904,1252
3,2020,212,8,3,12875,3481,974,885
4,2020,180,7,3,10916,2671,1077,817
5,2020,148,0,6,11477,2587,1179,979
6,2020,155,4,4,10359,2622,1194,1034
7,2020,130,8,5,10643,2353,1373,1159
8,2020,152,7,5,9933,2262,1265,1082
9,2020,153,6,2,10678,2300,1316,1127
10,2020,173,3,1,11536,2442,1215,1059
11,2020,151,4,1,11440,2605,1058,964
12,2020,173,8,3,11334,2203,1166,1120
