MÊS,ANO,HOMICÍDIO,LATROCÍNIO,FURTO,ROUBO,ESTELIONATO,POSSE OU PORTE ILEGAL DE ARMAS,POSSE DE INTORPECENTES,TRÁFICO DE INTORPECENTES,LESÃO CORPORAL SEGUIDA DE MORTE
1,2020,159,6,11605,5515,3294,487,1356,1038,3
2,2020,187,8,11324,5190,3000,425,907,854,2
3,2020,157,5,8785,4783,3364,516,876,941,3
4,2020,180,7,6727,2880,4301,543,1143,1336,1
5,2020,178,4,7254,3438,5308,554,1262,1585,3
6,2020,137,8,7733,3673,7249,485,1167,1462,2
7,2020,144,6,7723,3666,6636,526,1262,1580,0
8,2020,140,5,8344,3593,6218,579,1403,1490,1
9,2020,112,4,8634,3421,7556,547,1365,1444,4
10,2020,174,6,8703,3767,7291,596,1442,1472,5
11,2020,123,6,8616,3526,6967,602,1239,1314,2
12,2020,142,6,8330,3372,6548,480,1242,1223,2
