MÊS,ANO,ROUBO,FURTO,HOMICÍDIO,FEMINICÍDIO,LATROCÍNIO,LESÃO CORPORAL SEGUIDA DE MORTE,CONFRONTO POLICIA CIVIL,CONFRONTO POLICIA MILITAR,ROUBO ACUMULADO,FURTO ACUMULADO,HOMICÍDIO ACUMULADO,FEMINICÍDIO ACUMULADO,LATROCÍNIO ACUMULADO,LESÃO CORPORAL SEGUIDA DE MORTE ACUMULADO,CONFRONTO POLICIA CIVIL ACUMULADO,CONFRONTO POLICIA MILITAR ACUMULADO
1,2020,1110,10146,81,2,3,2,0,10,1110,10146,81,2,3,2,0,10
2,2020,1125,10198,63,4,1,3,0,11,2235,20344,144,6,4,5,0,21
3,2020,787,7571,79,6,0,1,0,9,3022,27915,223,12,4,6,0,30
4,2020,731,6151,63,7,1,2,0,14,3753,34066,286,19,5,8,0,44
5,2020,710,6699,59,2,1,1,1,10,4463,40765,345,21,6,9,1,54
6,2020,708,6596,50,3,1,0,1,6,5171,47361,395,24,7,9,2,60
7,2020,691,6431,50,7,3,2,0,5,5862,53792,445,31,10,11,2,65
8,2020,635,6346,47,2,2,0,0,6,6497,60138,492,33,12,11,2,71
9,2020,650,6612,40,6,2,0,0,2,7147,66750,532,39,14,11,2,73
10,2020,683,6666,35,4,3,2,0,3,7830,73416,567,43,17,13,2,76
11,2020,648,6685,54,8,2,2,0,3,8478,80101,621,51,19,15,2,79
12,2020,685,6431,69,6,1,0,0,5,9163,86532,690,57,20,15,2,84
